Strain,Dominance,Special,Brand,Product,Also Known As,,Variant,Parent1,Parent1%,Parent2,Parent2%,Parent3,Parent3%,Parent4,Parent4%,Parent5,Parent5%,Parent6,Parent6%,,notes,Breeder,Origin,Treated,Cannabinoids,Terpenes,General comments
Island Sweet Skunk,,ex NZ Medical,Tilray,Tilray THC25 (ISS) (discontinued),,,,Sweet Skunk,,Skunk #1,,,,,,,,,,,,,,,"THC 25%, CBD <1%",,
J1,,,,,,,,Jack Herer,,Skunk #1,,,,,,,,,,,,,,,,,
Jack Frost,,,,,,,,Rainbow Kashmiri,50.00%,Jack Herer,16.66%,White Widow,16.66%,Northern Lights #5,16.68%,,,,,,,,,,,,
Jack Haze,,,,,,,,Jack Herer,,Haze,,,,,,,,,,,,,,,,,
Jack Herer,,,,,,,,Haze,50.00%,Northern Lights #5,25.00%,Shiva Skunk,25.00%,,,,,,,,,,,,,,
Jamaican Sativa Landraces,Sativa dominant,Landrace,,,,,,Introduced Naturalised Sativa,,,,,,,,,,,,,,,,,,,
Jealousy ,,,,,,,,Gelato 41,,Sherb BX1 ,,,,,,,,,,,,,,,,,
Jean Guy,,,,,,,White Widow,,,,,,,,,,,,,,,,,,,,
Jet Fuel G6,,,,,,,,Aspen OG,,High Country Diesel,,,,,,,,,,,,,,,,,
Jet Fuel Gelato,,NZ Medical,Bloom,Bloom JFG,JetLatto,,,Jet Fuel G6,25.00%,Hi-Octane,25.00%,Gelato 45,50.00%,,,,,,,,,,,,,,
Jillybean,,,,,Jilly Bean,,,Space Queen,,Orange Velvet,,,,,,,,,,,,,,,,,
Joseph OG,,,,,Joseph,,,Underdog OG (Gage Green),,Unknown Male 2,,,,,,,,,,,,,,,,,
Juicy Fruit,,,,,Fruity Juice,,,Thai Sativa Landraces,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,,,,
Kali Mist,,,,,,,,Cambodia Sativa Landraces,,Afghan/Pakistan Indica Landraces,,Colombian Sativa Landraces,,Thai Sativa Landraces,,,,,,,,,,,,,
Karma OG,,,,,,,,Biker Kush,,OG 17,,,,,,,,,,,,,,,,,
Karmarado OG,,,,,,,,Triangle Kush,37.50%,San Fernando Valley OG Kush,37.50%,White OG,25.00%,,,,,,,,,,,,,,
Kashmir Sativa Landraces,Sativa dominant,Landrace,,,,,,Original South Asian Sativa,,,,,,,,,,,,,,,,,,,
Kazakhstan Ruderalis,,,,,,,Ruderalis Landraces,,,,,,,,,,,,,,,,,,,,
Kerala Indica,,,,,,,India Indica Landraces,,,,,,,,,,,,,,,,,,,,
Kilimanjaro,,,,,,,East African Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Killer New Haven,,,,,KNH,,,Unknown Indica Lineages,,,,,,,,,,,,,,,,,,,
Kodiak Gold,,,,,KG,,,Unknown Lineages,,,,,,,,,,,,,,,,,,,
Kodiak Lavender,,,,,,,Kodiak Gold,,,,,,,,,,,,,,,,,,,,
Koh Chang Thai,,,,,,,Thai Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Kosher Kush,,,,,Jew Gold,,,OG Kush,,,,,,,,,,,,,,,,,,,
Krypt,,,,,,,,Unknown Lineages,,,,,,,,,,,,,,,,,,,
Kush Mints,,,,,Kush Mintz,,,Bubba Kush,,Animal Mints,,,,,,,,,,,,,,,,,
La Réunion,Sativa dominant,,,,,,East African Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Lamb’s Bread ,,,,,Lamb's Breath,,Jamaican Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Larry OG,,,,,,,,OG Kush,,San Fernando Valley OG,,,,,,,,,,,,,,,,,
Larry OG F7,,,,,,,Larry OG,,,,,,,,,,,,,,,,,,,,
Las Vegas,,,,,,,,San Fernando Valley OG Kush,,Skunk #1,,,,,,,,,,,,,,,,,
Las Vegas Lemon Skunk,,,,,,,Skunk #1,,,,,,,,,,,,,,,,,,,,
Las Vegas Purple Kush,,,,,LVPK,,,Hindu Kush Landraces,,Purple Afghan Indica Landraces,,,,,,,,,,,,,,,,,
Lava,,,,,,,,Thai Sativa Landraces,,Gooey,,Purple Empress,,,,,,,,,,,,,,,
Lavender,,,,,Soma #10,,,Super Skunk,,Big Skunk Korean,,Afghan/Pakistan Indica Landraces,,Hawaiian Sativa Landraces,,,,,,,,,,,,,
Legend OG,,,,,,,OG Kush,,,,,,,,,,,,,,,,,,,,
Legendary Larry,,NZ Medical,Medleaf,Medleaf LL Kush,,,,Legend OG,,Larry OG F7,,,,,,,,,,,,,Canada,Non-irradiated,"THC 23%, CBD <1%",,
Lemon Alien Dawg,,,,,LAD,,,Alien Dawg,,Lemon Kush (Alien Genetics),,,,,,,,,,,,,,,,,
Lemon Amnesia,,,,,,,,Lemon G,,Memory Loss,,,,,,,,,,,,,,,,,
Lemon Cherry Gelato,,,,,,,,Sherbert,25.00%,Thin Mint Girl Scout Cookies,25.00%,Lemon Haze,50.00%,,,,,,,,,,,,,,
Lemon G,,,,,,,,G13,,Early Misty,,,,,,,,,,,,,,,,,
Lemon Haze,,,,,,,,Lemon Skunk,,Silver Haze,,,,,,,,,,,,,,,,,
Lemon Joy,,,,,,,,Master Kush,,Lemon Haze,,,,,,,,,,,,,,,,,
Lemon Kush,,,,,Cali Lemon Kush,,,Master Kush,,Lemon Joy,,,,,,,,,,,,,,,,,
Lemon Kush (Alien Genetics),,,,,Alien Genetics Lemon Kush,,,Lemon G,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,,,,
Lemon OG,,,,,,,,The OG #18,,Las Vegas Lemon Skunk,,,,,,,,,,,,,,,,,
Lemon Rocket,,,,,,,,Fuel,,Wedding Cake,,,,,,,,,,,,,,,,,
Lemon Skunk,,,,,,,,Skunk #1,,Las Vegas Lemon Skunk,,,,,,,,,,,,,,,,,
Lemon Splash,,,Shane,,,,,Lemon Tree,,Horchata,,,,,,,,,,,,,,,,,
Lemon Thai,,,,,,,,Thai Sativa Landraces,,Hawaiian Sativa Landraces,,,,,,,,,,,,,,,,,
Lemon Tree,,,,,,,,Lemon Skunk,,East Coast Sour Diesel,,,,,,,,,,,,,,,,,
Lost Coast OG,,,,,,,,Chemdawg 4,50.00%,Pakistani Kush,25.00%,Lemon Thai,25.00%,,,,,,,,,,,,,,
Lowryder,,,,,,,,Northern Lights #2,25.00%,William’s Wonder ,50.00%,Mexican Rudy,25.00%,,,,,,,,,,,,,,
Lucifer OG,,,,,,,,Hell's Angels OG,,San Fernando Valley OG Kush,,,,,,,,,,,,,,,,,
Malawi,,,,,,,East African Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Malawi Gold,,,,,,,East African Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Mandarin Cookies ,,,,,,,,Forum Cut Cookies,,Mandarin Sunset,,,,,,,,,,,,,,,,,
Mandarin Sunset,,,,,,,,Orange Skunk,,Herojuana ,,,,,,,,,,,,,,,,,
Mandarin Zkittlez,,,,,,,,Mandarin Sunset,,California Black Rozé,,,,,,,,,,,,,,,,,
Mango Haze,,,,,,,,Northern Lights #5,25.00%,Skunk #1,25.00%,Haze,50.00%,,,,,,,,,,,,,,
Marionberry ,,,,,,,,Raspberry Kush,,Space Queen,,,,,,,,,,,,,,,,,
Mass Super Skunk,,,,,,,Super Skunk,,,,,,,,,,,,,,,,,,,,
Master Kush,,,,,,,,Hindu Kush Landraces,,,,,,,,,,,,,,,,,,,
Maui Wowie,,,,,Maui Waui; Mowie Wowie,,Hawaiian Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Mazar,,,,,Afghan Skunk,,,Mazar I Sharif,,Skunk #1,,,,,,,,,,,,,,,,,
Mazar I Sharif,,,,,,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,,,,,,,
Melon OG,,,,,,,,Captain Krypt OG,,Chemdawg 91,,,,,,,,,,,,,,,,,
Memory Loss,,,,,,,,Amnesia Haze,,Face Off OG,,,,,,,,,,,,,,,,,
Mendo Breath,,,,,,,,OG Kush Breath,,Mendo Montage ,,,,,,,,,,,,,,,,,
Mendo Montage ,,,,,,,,Mendocino Purps,,Crystal Locomotive,,,,,,,,,,,,,,,,,
Mendocino Purps,,ex NZ Medical,Tilray,Tilray THC22 (PM) (discontinued),Mendo Purps; Purple Mendocino,,,North American Indica Landraces,,,,,,,,,,,,,,,,,,,
Mexican Rudy,,,,,,,,Mexico Sativa Landraces,50.01%,Russian Ruderalis Landraces,49.99%,,,,,,,,,,,,,,,,
Mexico Sativa Landraces,Sativa dominant,Landrace,,,,,,Introduced Naturalised Sativa,,,,,,,,,,,,,,,,,,,
Michoacán Sativa Landraces,Sativa dominant,,,,,,Mexico Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Miracle 15,,,,,,,,Colombian Gold,,Starfighter,,,,,,,,,,,,Capulator,,,,,
Miracle Alien Cookies,,NZ Medical,Medleaf,Medleaf MAC1,,,,Alien Cookies,,Miracle 15,,,,,,,,,,,,Capulator,Canada,Non-irradiated,,,
Misty,,,,,,,,Brazil Sativa Landraces,,India Indica Landraces,,,,,,,,,,,,,,,,,
MK Ultra,,,,,,,,G13,,OG Kush,,,,,,,,,,,,,,,,,
Mochi ,,,,,Mochi Gelato; Gelato #47,,Gelato,,,,,,,,,,,,,,,,,,,,
Mokums Tulip,,ex NZ Medical,Helius,Helius Oral Spray (discontinued),,,,Gelato,,Sherbert,,,,,,,,,,,,,,,,,
Moroccan,,,,,,,North African Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Mystery Hermaphrodite,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Nepalese Indica Landraces,Indica dominant,Landrace,,,,,,Original Central Asian Indica,,,,,,,,,,,,,,,,,,,
Nevil's Haze,,,,,,,,Haze,75.00%,Northern Lights #5,25.00%,,,,,,,,,,,,,,,,
Nevil's Wreck,,,,,,,,Trainwreck,,Nevil's Haze,,,,,,,,,,,,,,,,,
Night Rider,,,,,,,,I-95,,Stardawg ,,,,,,,,,,,,,,,,,
North African Sativa Landraces,Sativa dominant,Landrace,,,,,,Introduced Naturalised Sativa,,,,,,,,,,,,,,,,,,,
North American Indica Landraces,Indica dominant,Landrace,,,,,,Introduced Naturalised Indica,,,,,,,,,,,,,,,,,,,
Northern Berry,,,,,,,,Blueberry,,Northern Lights #5,,,,,,,,,,,,,,,,,
Northern Lights,,,,,,,,Afghan/Pakistan Indica Landraces,,Thai Sativa Landraces,,,,,,,,,,,,,,,,,
Northern Lights #1,,,,,,,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,,,,,,
Northern Lights #2,,,,,,,,Hindu Kush Landraces,,,,,,,,,,,,,,,,,,,
Northern Lights #5,,,,,,,Northern Lights,,,,,,,,,,,,,,,,,,,,
NYC Diesel,,,,,,,,Diesel ,,Afghani Hawaiian,,,,,,,,,,,,,,,,,
Octane ,,,,,,,,Unknown Lineages,,,,,,,,,,,,,,,,,,,
OG 17,,,,,,,OG Kush,,,,,,,,,,,,,,,,,,,,
OG Chem,,,,,,,,OG Kush,,Chemdawg 91,,,,,,,,,,,,,,,,,
OG Eddy Lepp,,,,,,,,OG Kush,,Grape Ape,,,,,,,,,,,,,,,,,
OG Kush,,NZ Medical,ANTG,ANTG Mariposa,,,,Emerald Triangle,,Hindu Kush,,,,,,,,,,,,,Australia,,"THC 13%, CBD <1%",,
OG Kush Breath,,,,,,,Girl Scout Cookies,,,,,,,,,,,,,,,,,,,,
OMG,,,,,,,,GMO Cookies,,Kush Mints,,,,,,,,,,,,,,,,,
Orange Cookies,,,,,,,,Girl Scout Cookies,,Orange Juice,,,,,,,,,,,,,,,,,
Orange Juice,,,,,OJ Kush,,,OG Kush,25.00%,California Orange,25.00%,Joseph OG,50.00%,,,,,,,,,,,,,,
Orange Kush Cake,,ex NZ Medical,Medleaf,Medleaf Orange Kush C (discontinued),,,,Mandarin Cookies ,50.00%,Triangle Kush,25.00%,Wedding Cake,12.50%,Jillybean,12.50%,,,,,,,,,,"THC 21%, CBD <1%",,
Orange Skunk,,,,,The Original Californian Orange Skunk,,,California Orange,,Skunk #1,,,,,,,,,,,,,,,,,
Orange Velvet,,,,,Melvin,,,Orange Skunk,,Unknown Pacific Northwest Strain,,,,,,,,,,,,,,,,,
Oreoz,,,,,,,,Cookies N Cream,,Secret Weapon ,,,,,,,,,,,,,,,,,
Original Central Asian Indica,Indica dominant,Origin,,,,,,,,,,,,,,,,,,,,,,,,,
Original Central Asian Ruderalis ,Ruderalis dominant,Origin,,,,,,,,,,,,,,,,,,,,,,,,,
Original Diesel,,,,,,,,Chemdawg 91,50.00%,Mass Super Skunk,25.00%,Northern Lights,25.00%,,,,,,,,,,,,,,
Original Hash Plant,,,,,,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,,,,,,,
Original South Asian Sativa,Sativa dominant,Origin,,,,,,,,,,,,,,,,,,,,,,,,,
Ortega,,,,,,,,Northern Lights #5,,Northern Lights #1,,,,,,,,,,,,,,,,,
Oz Kush,,,,,,,,Zkittlez,,OG Eddy Lepp,,,,,,,,,,,,,,,,,
Pakistani Chitral Kush,,,,,,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,,,,,,,
Pakistani Kush,,,,,,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,,,,,,,
Panama Dragon,,,,,,,,Breath of Purple Dragon,,Panama Red,,,,,,,,,,,,,,,,,
Panama Red,,,,,,,Panama Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Panama Sativa Landraces,Sativa dominant,Landrace,,,,,,Introduced Naturalised Sativa,,,,,,,,,,,,,,,,,,,
Papaya,,,,,,,,Citral #13,,Ice #2,,,,,,,,,,,,,,,,,
Paris OG,,,,,Perris OG,,,Headband,,Lemon OG,,,,,,,,,,,,,,,,,
Peach Ozz,,,,,,,,Oz Kush,,Peach Ringz,,,,,,,,,,,,,,,,,
Peach Ringz,,,,,,,,Marionberry ,,OG Eddy Lepp,,,,,,,,,,,,,,,,,
Petrolia Headstash ,,,,,,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,,,,,,,
Pineapple Express,,,,,,,,Hawaiian Sativa Landraces,,Trainwreck,,,,,,,,,,,,,,,,,
Pineapple Express (G13 Labs),,,,,,,,Big Bud,,The Real McCoy,,,,,,,,,,,,,,,,,
Pineapple Express #2,,,,,,,,Pineapple Express (G13 Labs),,Skunk #1,,,,,,,,,,,,,,,,,
Pink Diesel,,NZ Medical,Aurora,Aurora Sirius,,,,Driftwood Diesel,,Pink Kush,,,,,,,,,,,,,,,,,
Pink Kush,,ex NZ Medical,Aurora,Aurora Sedaprem (discontinued); Beacon Pink Kush; Bloom Pink Kush,Sedaprem,,OG Kush,,,,,,,,,,,,,,,,Canada,,"THC 21%, CBD <1%",,
Pink Panties,,,,,,,,Florida Kush,75.00%,Burmese Sativa Landraces,25.00%,,,,,,,,,,,,,,,,
Plantman Jack,,,,,Plantman Jack Herer,,Jack Herer,,,,,,,,,,,,,,,,,,,,
Platinum Girl Scout Cookies,,,,,,,Girl Scout Cookies,,,,,,,,,,,,,,,,,,,,
Polyanna,,,,,,,,Mexico Sativa Landraces,,Colombian Sativa Landraces,,,,,,,,,,,,,,,,,
Powdered Donuts,,NZ Medical,Tilray,Tilray T22 (Powdered Donuts),,,,Jet Fuel Gelato,,Orange Cookies,,,,,,,,,,,,,,,,,
Power Plant,,,,,,,South African Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Princess,,,,,,,,Jack Herer,,Unknown Male ,,,,,,,,,,,,,,,,,
Pure Michigan,,,,,,,,Oreoz,,Mendo Breath,,,,,,,,,,,,,,,,,
Purple Afghan Indica Landraces,Indica dominant,Landrace,,,,,,Original Central Asian Indica,,,,,,,,,,,,,,,,,,,
Purple Alien Kush,,,,,,,,Las Vegas Purple Kush,,Alien Dawg,,,,,,,,,,,,,,,,,
Purple Elephant,,,,,,,,Purple Urkle,,Unknown Strain 10,,,,,,,,,,,,,,,,,
Purple Empress,,,,,,,,African Purple,,Unknown Indica Strain 3,,,,,,,,,,,,,,,,,
Purple Haze,,,,,,,Haze Brothers Original Haze,,,,,,,,,,,,,,,,,,,,
Purple Kush,,,,,,,,Hindu Kush,,Purple Afghan Indica Landraces,,,,,,,,,,,,,,,,,
Purple Mayhem,,,,,,,,Dark Desire,,Dark Cross,,,,,,,,,,,,,,,,,
Purple Pakistani Kush,,,,,,,,Pakistani Chitral Kush,,Purple Kush,,,,,,,,,,,,,,,,,
Purple Punch,,,,,,,,Granddaddy Purple,,Larry OG,,,,,,,,,,,,,,,,,
Purple Skunk,,,,,,,,Skunk #1,,Unknown Purple Strain,,,,,,,,,,,,,,,,,
Purple Thai Sativa Landraces,Sativa dominant,Landrace,,,,,,Original South Asian Sativa,,,,,,,,,,,,,,,,,,,
Purple Urkle,,,,,,,Mendocino Purps,,,,,,,,,,,,,,,,,,,,
Querkle ,,,,,,,,Space Queen,,Purple Urkle,,,,,,,,,,,,,,,,,
Rainbow Kashmiri,,,,,,,Kashmir Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Rainbow Sherbert ,,,,,,,,Blackberry,,Champagne Kush,,,,,,,,,,,,,,,,,
Rare Dankness #1,,,,,,,,Ghost OG,18.75%,Chemdawg 91,6.25%,Triangle Kush,75.00%,,,,,,,,,,,,,,
Raspberry Cough,,,,,,,,Cambodia Sativa Landraces,,Ice,,,,,,,,,,,,,,,,,
Raspberry Kush,,,,,,,Hindu Kush Landraces,,,,,,,,,,,,,,,,,,,,
Red Poison,,,,,,,,Green Poison,,Purple Pakistani Kush,,,,,,,,,,,,,,,,,
Reeferman's Blue Thunder,,,,,,,,Blueberry Sativa,,Kodiak Lavender,,,,,,,,,,,,,,,,,
Reign,,,,,,,,Unknown Lineages,,,,,,,,,,,,,,,Denmark,,,,
Reign Man,,,,,,,,Gary Payton,,Stuffed French Toast,,,,,,,,,,,,,,,,,
Reina Madre,,,,,Queen Mother,,,Unknown Spanish Sativa,25.00%,Congo #1,25.00%,La Réunion,50.00%,,,,,,,,,,,,,,
RFK Skunk Bag Seed,Unknown,Bag seed,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Bud,,,,,,,,Super Skunk,,Big Skunk Korean,,Afghani Hawaiian,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,
Rocky,,NZ Medical,ANTG,ANTG Rocky,,,El Jefe,,,,,,,,,,,,,,,,Australia,,,,
Romulan ,,,,,,,,North American Indica Landraces,,,,,,,,,,,,,,,,,,,
Royal Moby,,NZ Medical,Kikuya,Kikuya Arroyo,,,,White Widow,,Haze,,,,,,,,,,,,,Australia,,"THC 20%, CBD <1%",,
Rozé,,,,,Roz; Roze,,,Zkittlez,,Mystery Hermaphrodite,,,,,,,,,,,,,,,,,
Ruderalis Landraces,Ruderalis dominant,Landrace,,,,,,Original Central Asian Ruderalis ,,,,,,,,,,,,,,,,,,,
Runtz,,,,,Runtz OG,,,Zkittlez,,Gelato 33,,,,,,,,,,,,,,,,,
Runtz Mintz,,NZ Medical,Medleaf,Medleaf Runtz M,,,,Peach Ozz,12.50%,Kush Mints,25.00%,Gelatti,12.50%,Runtz,50.00%,,,,,,,,Canada,Non-irradiated,,,
Russian Ruderalis Landraces,Ruderalis dominant,,,,,,Ruderalis Landraces,,,,,,,,,,,,,,,,,,,,
Sagarmatha 60/40,Indica dominant,Bag seed,,,,,,,,,,,,,,,,,,,,,,,,,
San Fernando Valley OG,,,,,SFV OG,,OG Kush,,,,,,,,,,,,,,,Swerve,,,,,
San Fernando Valley OG Kush,,,,,SFV OG Kush,,,San Fernando Valley OG,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,,,,
Sangria ,,,,,,,,Querkle ,,Vintner's Moonshine,,,,,,,,,,,,,,,,,
Secret Weapon ,,,,,,,,White Widow,,Cheese Quake,,,,,,,,,,,,,,,,,
Sensi Star,,,,,,,,Afghan/Pakistan Indica Landraces,,Skunk #1,,,,,,,,,,,,,,,,,
Sherb BX1 ,,,,,,,,Sherbert,75.00%,Animal Cookies Bx2,25.00%,,,,,,,,,,created as a backcross of the infamous Sherbet strain,,,,,,
Sherb Cream Pie,,,,,,,,Ice Cream Cake,,Sherb BX1 ,,,,,,,,,,,,,,,,,
Sherbert,,,,,Sunset Sherbert,,,Pink Panties,,Girl Scout Cookies,,,,,,,,,,,,,,,,,
Shishkaberry,,ex NZ Medical,Medleaf,Medleaf Shishkaberry (discontinued),,,,Blueberry,25.00%,Afghani Hawaiian,75.00%,,,,,,,,,,,,,,"THC 15%, CBD <1%",,
Shiva,,,,,,,,India Indica Landraces,,,,,,,,,,,,,,,,,,,
Shiva Skunk,,,,,,,,Northern Lights #5,,Skunk #1,,,,,,,,,,,,,,,,,
Siberian Ruderalis ,,,,,,,Ruderalis Landraces,,,,,,,,,,,,,,,,,,,,
Silver Haze,,,,,,,,Silver Pearl,,Haze,,,,,,,,,,,,,,,,,
Silver Pearl,,,,,,,,Skunk #1,25.00%,Northern Lights #5,50.00%,Early Pearl,25.00%,,,,,,,,,,,,,,
SinMint Cookies,,,,,SinMint,,,Girl Scout Cookies,,Blue Power,,,,,,,,,,,,,,,,,
Skunk #1,,,,,,,,Acapulco Gold,25.00%,Colombian Gold,50.00%,Afghan/Pakistan Indica Landraces,25.00%,,,,,,,,,,,,,,
Skunk Haze,,,,,,,,Skunk #1,,Haze,,,,,,,,,,,,,,,,,
Skywalker,,,,,,,,Blueberry,,Mazar,,,,,,,,,,,,,,,,,
Snowman,,,,,,,Girl Scout Cookies,,,,,,,,,,,,,,,,,,,,
Sour Bubble,,,,,,,BOGBubble,,,,,,,,,,,,,,,,,,,,
Sour Candy,,,,,,,,Sour Diesel,,Bubblegum,,,,,,,,,,,,,,,,,
Sour Chem,,,,,Chemdawg Sour Diesel,,,Headband,25.00%,Sour Diesel,75.00%,,,,,,,,,,,,,,,,
Sour Cream ,,,,,,,,Sour Diesel,,G13 Haze,,,,,,,,,,,,,,,,,
Sour Diesel,,,,,,,,Original Diesel,,DNL,,,,,,,,,,,,,,,,,
Sour Double,,,,,Sour Dubb,,,East Coast Sour Diesel,,Sour Bubble,,,,,,,,,,,,,,,,,
Sour Florida OG,,,,,,,,Chemdawg 91,50.00%,Lemon Thai,25.00%,Hindu Kush Landraces,25.00%,,,,,,,,,,,,,,
Sour Tangie,,,,,,,,East Coast Sour Diesel,,Tangie,,,,,,,,,,,,,,,,,
Sourdough ,,NZ Medical,Aurora ,Aurora Night Ride,,,,Sour Diesel,,Wedding Cake,,,,,,,,,,,,,,,,,
Sourdough Kush,,,,,,,,Girl Scout Cookies,,OG Kush,,Sour Diesel,,,,,,,,,,,,,,,
South African Sativa Landraces,Sativa dominant,Landrace,,,,,,Introduced Naturalised Sativa,,,,,,,,,,,,,,,,,,,
South India Sativa Landraces,Sativa dominant,Landrace,,,,,,Original South Asian Sativa,,,,,,,,,,,,,,,,,,,
Space Queen,,,,,,,,Romulan ,,Cinderella 99 ,,,,,,,,,,,,,,,,,
Stardawg ,,,,,,,,Chemdawg 4,,Tres Dawg,,,,,,,,,,,,,,,,,
Starfighter,,,,,,,,Tahoe Alien,,Lemon Alien Dawg,,,,,,,,,,,,,,,,,
Stonefruit Sunset,,,,,,,,Fuel,,Gelato,,,,,,,,,,,,,,,,,
Strawberry Banana,,,,,,,,Banana Kush,,Bubblegum,,,,,,,,,,,,,New Zealand,,"THC 25%, CBD <1%",,
Strawberry Cough,,,,,,,,Haze,,Strawberry Fields,,,,,,,,,,,,,,,,,
Strawberry Diesel,,,,,,,,NYC Diesel,,Strawberry Cough,,,,,,,,,,,,,,,,,
Strawberry Fields,,,,,,,,Unknown Lineages,,,,,,,,,,,,,,,,,,,
Strawberry Fields (Crockett Family Farms),,,,,,,,Tangie,,Strawberry Banana,,,,,,,,,,,,,,,,,
Strawberry Kush ,,NZ Medical,Kikuya,Kikuya Peak,,,,Strawberry Cough,,OG Kush,,,,,,,,,,,,,,,,,
Stuffed French Toast,,,,,,,,Paris OG,,Cookies N Cream,,,,,,,,,,,,,,,,,
Super Silver Haze,,,,,,,,Skunk #1,25.00%,Northern Lights #5,25.00%,Haze,50.00%,,,,,,,,,,,,,,
Super Skunk,,,,,,,,Afghan/Pakistan Indica Landraces,,Skunk #1,,,,,,,,,,,,,,,,,
Superglue,,,,,,,,Afghan/Pakistan Indica Landraces,,Northern Lights,,,,,,,,,,,,,,,,,
Sweet Pink Grapefruit,,,,,,,,Northern Lights #1,,,,,,,,,,,,,,,,,,,
Sweet Skunk,,,,,,,,Sweet Pink Grapefruit,50.00%,Northern Lights,25.00%,Haze,25.00%,,,,,,,,,,,,,,
Tahoe Alien,,,,,,,,Tahoe OG Kush,,Alien Kush,,,,,,,,,,,,,,,,,
Tahoe OG Kush,,,,,Tahoe,,OG Kush,,,,,,,,,,,,,,,Swerve,,,,,
Tange Chem,,NZ Medical,ANTG,ANTG Solace,,,,Tangie,,Chemdawg 91,,,,,,,,,,,,,Australia,,"THC 20%, CBD <1%",,
Tangie,,,,,,,,Skunk #1,,California Orange,,,,,,,,,,,,,,,,,
Tango Jack,,,,,,,,Jack Herer,,Unknown Indica Strain 1,,,,,,,,,,,,,,,,,
Thai Sativa Landraces,Sativa dominant,Landrace,,,Thai Stick; Thai,,,Original South Asian Sativa,,,,,,,,,,,,,,,,,,,
Thailand Indica Landraces,Indica dominant,Landrace,,,,,,Original Central Asian Indica,,,,,,,,,,,,,,,,,,,
The OG #18,,,,,,,OG Kush,,,,,,,,,,,,,,,,,,,,
The Real McCoy,,,,,Hawaiian Skunk,,,Hawaiian Sativa Landraces,,Skunk #1,,,,,,,,,,,,,,,,,
The Red,,,,,,,,Panama Red,,Colombian Gold,,,,,,,,,,,,,,,,,
The Truth,,,,,,,,Triangle Kush,50.00%,San Fernando Valley OG Kush,25.00%,ChemD BX2,25.00%,,,,,,,,,,,,,,
The Y,,,,,Y Life,,,Cherry Pie,,Girl Scout Cookies,,,,,,,,,,,,,,,,,
Thin Mint Girl Scout Cookies,,,,,,,Girl Scout Cookies,,,,,,,,,,,,,,,,,,,,
Trainwreck,,,,,Train Wreck; Arcata Trainwreck,,,Thai Sativa Landraces,25.00%,Mexico Sativa Landraces,25.00%,Afghan/Pakistan Indica Landraces,50.00%,,,,,,,,,,,,,,
Tres Dawg,,,,,,,,Double Dawg,,Chemdawg D,,,,,,,,,,,,,,,,,
Triangle,Indica dominant,Disputed,,,The White,,,,,,,,,,,,,,,,,,,,,,
Triangle Kush,,,,,,,,Emerald Triangle,,Hindu Kush,,,,,,,,,,,,,,,,,
Triangle Mints,,NZ Medical,Tilray,Tilray T25 (Triangle Mints),,,,Animal Mints,,Triangle Kush,,,,,,,,,,,,,,,,,
Triple Cheese,,,,,,,,Blue Cheese,,UK Cheese,,,,,,,,,,,,,,,,,
Tropicana Cookies,,NZ Medical,Medleaf,Medleaf Tropicana C,,,,Tangie,,Forum Cut Cookies,,,,,,,,,,,,,Canada,Non-irradiated,,,
Tropicana Poison,,,,,,,,Tropicana Cookies,,Red Poison,,,,,,,,,,,,,,,,,
Tutti Frutti,,,,,,,,Thai Sativa Landraces,,Green Haze,,Blue Haze,,Ruderalis Landraces,,,,,,,,,,,,,
Twilight ,,,,,Lemon Twilight; Twilight Kush; Twilight Indica,,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,Dutch Passion,,,,,
UK Cheese,,,,,Exodus Cheese; Cognitiva,,Skunk #1,,,,,,,,,,,,,,,Exodus,,,,,
Ultra Sour,,,,,,,,MK Ultra,,East Coast Sour Diesel,,,,,,,,,,,,,,,,,
Underdog OG (Gage Green),,,,,Underdog OG; New York OG; Original Headband; Daywrecker,,Original Diesel,,,,,,,,,,,,,,,,,,,,
