Strain,Dominance,Special,Brand,Product,Also Known As,,Variant,Parent1,Parent1%,Parent2,Parent2%,Parent3,Parent3%,Parent4,Parent4%,Parent5,Parent5%,Parent6,Parent6%,,notes,Breeder,Origin,Treated,Cannabinoids,Terpenes,General comments
Big Bud,,,,,,,,Northern Lights #5,,Skunk #1,,Afghani #1,,,,,,,,,,,,,,,
Big Buddha Cheese,,,,,BBC,,,UK Cheese,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,,,,
Big Skunk Korean,,,,,,,,Big Bud,,Skunk #1,,Unknown Korean Strain,,,,,,,,,,,,,,,
Big Sur Holy Weed,,,,,,,,Mexico Sativa Landraces,,Mazar I Sharif,,,,,,,,,,,,,,,,,
Biker Kush,,,,,,,,Hell's Angels OG,,Lucifer OG,,,,,,,,,,,,,,,,,
Biscotti,,,,,,,,Gelato 25 ,,Sour Florida OG,,,,,,,,,,,,,,,,,
Black Cherry Pie,,,,,,,,Cherry Pie,,Blackberry Kush,,,,,,,,,,,,,,,,,
Black Cherry Punch,,,shane,,,,,Black Cherry Pie,,Purple Punch,,,,,,,,,,,,,,,,,
Black Domina,,,,,,,,Northern Lights #5,,Afghan/Pakistan Indica Landraces,,Ortega,,Hash Plant,,,,,,,,,,,,,
Black Fire F1,,,,,,,,Afghan/Pakistan Indica Landraces,,White Fire,,,,,,,,,,,,,,,,,
Black Kush,,,,,,,,Girl Scout Cookies,,Blackwater ,,,,,,,,,,,,,,,,,
Blackberry,,,,,,,,Black Domina,,Raspberry Cough,,,,,,,,,,,,,,,,,
Blackberry Kush,,,,,,,,Bubba Kush,,Blackberry,,,,,,,,,,,,,,,,,
Blackwater ,,,,,,,,Mendocino Purps,,Tahoe OG Kush,,,,,,,,,,,,,,,,,
Blue Cheese,,,,,,,,Blueberry,,UK Cheese,,,,,,,,,,,,,,,,,
Blue Dream,,ex NZ Medical,Bloom,Bloom Blue Dream (discontinued),,,,Haze,,Blueberry,,,,,,,,,,,,,,,,,
Blue Haze,,,,,,,,Blueberry,,Haze,,,,,,,,,,,,,,,,,
Blue Moonshine,,,,,,,Blueberry,,,,,,,,,,,,,,,,,,,,
Blue Power,,,,,,,,Blue Moonshine,25.00%,Master Kush,25.00%,Triangle,25.00%,Sour Double,25.00%,,,,,,,,,,,,
Blue Skunk,,,,,,,,Skunk #1,,Blueberry,,,,,,,,,,,,,,,,,
Blue Tango,,NZ Medical,Rua,Rua THC24,,,,Blue Dream,,Tango Jack,,,,,,,,,,,,,,,,,
Blueberry,,,,,DJ Short Blueberry,,,Afghan/Pakistan Indica Landraces,50.00%,Purple Thai Sativa Landraces,25.00%,Thai Sativa Landraces,25.00%,,,,,,,,,DJ Short,,,,,
Blueberry Kush,,,,,,,,Blueberry,,OG Kush,,,,,,,,,,,,,,,,,
Blueberry Sativa,,,,,,,Blueberry,,,,,,,,,,,,,,,,,,,,
BOGBubble,,,,,,,,Bubblegum,,,,,,,,,,,,,,,,,,,
Brazil Sativa Landraces,Sativa dominant,Landrace,,,,,,Introduced Naturalised Sativa,,,,,,,,,,,,,,,,,,,
Breath of Purple Dragon,,,,,,,,Pakistani Chitral Kush,,Dr Dream All Cure,,,,,,,,,,,,,,,,,
Bubba Kush,,,,,,,,Northern Lights,,OG Kush,,,,,,,,,,,,,,,,,
Bubble N Squeak,,,,,,,,Big Buddha Cheese,,Double Bubble F1,,,,,,,,,,,,,,,,,
Bubblegum,,,,,,,,Indiana Bubble Gum,,,,,,,,,,,,,,,,,,,
Burmese Kush,,,,,,,,Burmese Sativa Landraces,,OG Kush,,,,,,,,,,,,,,,,,
Burmese Sativa Landraces,Sativa dominant,Landrace,,,,,,Original South Asian Sativa,,,,,,,,,,,,,,,,,,,
Cake Crasher,,,,,,,,Wedding Crasher,,Wedding Cake,,,,,,,,,,,,,,,,,
California Black Rozé,,,,,,,,OG Eddy Lepp,,Rozé,,,,,,,,,,,,,,,,,
California Orange,,,,,,,,California Sativa Landraces,,North American Indica Landraces,,,,,,,,,,,,,,,,,
California Sativa Landraces,Sativa dominant,,,,,,American Pacific Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Cambodia Sativa Landraces,Sativa dominant,Landrace,,,,,,Original South Asian Sativa,,,,,,,,,,,,,,,,,,,
Candyland,,,,,,,,Platinum Girl Scout Cookies,,Granddaddy Purple,,,,,,,,,,,,,,,,,
Cannalope Haze,,,,,,,,Michoacán Sativa Landraces,,Haze Brothers Original Haze,,,,,,,,,,,,,,,,,
Cannatonic CBD,,,Shane,,,,,Reina Madre,,NYC Diesel,,,,,,,,,,,,,,,,,
Captain Krypt OG,,,,,,,,OG Kush,,Krypt,,,,,,,,,,,,,,,,,
Central African Sativa Landraces,Sativa dominant,Landrace,,,,,,Introduced Naturalised Sativa,,,,,,,,,,,,,,,,,,,
Champagne Kush,,,,,,,,Hindu Kush,,Hash Plant,,,,,,,,,,,,,,,,,
Cheese Quake,,,,,,,,UK Cheese,,Querkle ,,,,,,,,,,,,,,,,,
Chem Dog B,,,,,,,,Dogbud Bag Seed,,,,,,,,,,,,,,,,,,,
Chem’s Sister,,,,,,,,Dogbud Bag Seed,,,,,,,,,,,,,,,,,,,
Chemango Kush,,NZ Medical,Aurora,Aurora Whisper,,,,Driftwood Diesel,,Cyber Fuel OG,,,,,,,,,,,,,,,,,
ChemD BX2,,,,,,,,Chemdawg D,87.50%,Hindu Kush,12.50%,,,,,,,,,,,,,,,,
Chemdawg 4,,,,,,,,Dogbud Bag Seed,,,,,,,,,,,,,,,,,,,
Chemdawg 91,,,,,,,,Dogbud Bag Seed,,,,,,,,,,,,,,,,,,,
Chemdawg D,,,,,,,,Dogbud Bag Seed,,,,,,,,,,,,,,,,,,,
Cherry Pie,,,,,,,,Granddaddy Purple,,Durban Poison,,,,,,,,,,,,,,,,,
Cherry Runtz,,,,,,,,Cherry Pie,,Runtz,,,,,,,,,,,,,,,,,
Chocolate Diesel,,,,,,,,Sour Diesel,,Chocolate Thai Sativa Landraces,,,,,,,,,,,,,,,,,
Chocolate Fondue,,,,,,,,Chocolope,,UK Cheese,,,,,,,,,,,,,,,,,
Chocolate Thai Sativa Landraces,Sativa dominant,Landrace,,,,,,Original South Asian Sativa,,,,,,,,,,,,,,,,,,,
Chocolope,,,,,,,,Chocolate Thai Sativa Landraces,,Cannalope Haze,,,,,,,,,,,,,,,,,
Chronic,,,,,,,,Northern Lights,50.00%,Skunk #1,25.00%,AK-47,25.00%,,,,,,,,,,,,,,
Cinderella 99 ,,,,,C99; Cindy,,,Princess,93.75%,Shiva Skunk,6.25%,,,,,,,,,,,,,,,,
Citral ,,,,,,,,Pakistani Chitral Kush,,Super Skunk,,,,,,,,,,,,,,,,,
Citral #13,,,,,,,Citral ,,,,,,,,,,,,,,,,,,,,
Colombia Punto Rojo,,,,,,,Colombian Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Colombian Gold,,,,,Santa Marta; Colombian,,Colombian Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Colombian Sativa Landraces,Sativa dominant,Landrace,,,,,,Introduced Naturalised Sativa,,,,,,,,,,,,,,,,,,,
Congo #1,,,,,,,,Bangi Congo,50.00%,Congo #3,25.00%,Pakistani Chitral Kush,25.00%,,,,,,,,,,,,,,
Congo #3,,,,,,,Central African Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Cookies N Cream,,,,,,,,Girl Scout Cookies,,Starfighter,,,,,,,,,,,,,,,,,
Cove,,NZ Medical,Kikuya,Kikuya Cove,,,,Girl Scout Cookies,,Gelato 41,,OG Kush,,,,,,,,,,,Australia,,"THC 19%, CBD <1%",,
Critical Kush,,,,,,,,OG Kush,,Critical Mass,,,,,,,,,,,,,,,,,
Critical Mass,,,,,,,,Skunk #1,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,,,,
Crystal Locomotive,,,,,,,,Trainwreck,,98 Aloha White Widow,,,,,,,,,,,,,,,,,
Cyber Fuel OG,,,,,,,,OG Kush,,Wedding Cake,,,,,,,,,,,,,,,,,
Dark Cross,,,,,,,,Gooey,50.00%,Zinn,25.00%,Lava,25.00%,,,,,,,,,,,,,,
Dark Desire,,,,,,,,Zinn,,84% Pure Gooey,,Double Deth,,,,,,,,,,,,,,,
Death Bubba,,,,,,,,Bubba Kush,,Death Star,,,,,,,,,,,,,,,,,
Death Fuel,,,,,,,,Death Bubba,,Jet Fuel G6,,,,,,,,,,,,,,,,,
Death Star,,,,,,,,Sensi Star,,Sour Diesel,,,,,,,,,,,,,,,,,
Delahaze,,ex NZ Medical,Aurora,Aurora Luminarium (discontinued),,,,Mango Haze,,Lemon Skunk,,,,,,,,,,,,,Canada,,"THC 22%, CBD <1%",,
Deth Grip,,,,,,,,Gooey,,GooThunder,,,,,,,,,,,,,,,,,
Diesel ,,,,,,,,Unknown Lineages,,,,,,,,,,,,,,,,,,,
DNL,,,,,Diesel Northern Lights,,,RFK Skunk Bag Seed,25.00%,Hawaiian Sativa Landraces,25.00%,Northern Lights,50.00%,,,,,,,,,,,,,,
Do-Si-Dos,,,,,,,,Girl Scout Cookies,,Face Off OG,,,,,,,,,,,,,,,,,
